folder	current_movie	target_movie	og_movie_count	subtitle_count	ignored_count	og_movies
/Volumes/导演们/奥利佛·斯通/天生杀人狂	/Volumes/导演们/奥利佛·斯通/天生杀人狂/天生杀人狂.Natural.Born.Killers.1994.UNDC.BDRip.X264-TLF.mkv	/Volumes/导演们/奥利佛·斯通/天生杀人狂.Natural.Born.Killers.1994.UNDC.BDRip.X264-TLF.mkv	1	1	0	/Volumes/导演们/奥利佛·斯通/天生杀人狂/OG.天生杀人狂.Natural.Born.Killers.1994.UNDC.BDRip.X264-TLF.mkv
/Volumes/导演们/威廉·惠勒/危急时刻	/Volumes/导演们/威廉·惠勒/危急时刻/危急时刻.The.Desperate.Hours.1955.DVDRip.mkv	/Volumes/导演们/威廉·惠勒/危急时刻.The.Desperate.Hours.1955.DVDRip.mkv	1	3	0	/Volumes/导演们/威廉·惠勒/危急时刻/OG.危急时刻.The.Desperate.Hours.1955.DVDRip.mkv
/Volumes/导演们/威廉·惠勒/大侦探故事	/Volumes/导演们/威廉·惠勒/大侦探故事/大侦探故事.Detective.Story.1951.mkv	/Volumes/导演们/威廉·惠勒/大侦探故事.Detective.Story.1951.mkv	1	2	0	/Volumes/导演们/威廉·惠勒/大侦探故事/OG.大侦探故事.Detective.Story.1951.mkv
/Volumes/导演们/安东尼·曼/边城喋血记	/Volumes/导演们/安东尼·曼/边城喋血记/边城喋血记.Border.Incident.1949.mkv	/Volumes/导演们/安东尼·曼/边城喋血记.Border.Incident.1949.mkv	1	1	0	/Volumes/导演们/安东尼·曼/边城喋血记/OG.边城喋血记.Border.Incident.1949.mkv
/Volumes/导演们/安东尼奥尼/放大	/Volumes/导演们/安东尼奥尼/放大/放大.Blow-Up.1966.CC.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/安东尼奥尼/放大.Blow-Up.1966.CC.BDRip.X264.iNT-TLF.mkv	1	2	0	/Volumes/导演们/安东尼奥尼/放大/OG.放大.Blow-Up.1966.CC.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/安德烈·塔尔科夫斯基/牺牲	/Volumes/导演们/安德烈·塔尔科夫斯基/牺牲/牺牲.The.Sacrifice.1986.REMASTERED.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/安德烈·塔尔科夫斯基/牺牲.The.Sacrifice.1986.REMASTERED.BDRip.X264.iNT-TLF.mkv	1	3	0	/Volumes/导演们/安德烈·塔尔科夫斯基/牺牲/OG.牺牲.The.Sacrifice.1986.REMASTERED.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/寺山修司/死者田园祭	/Volumes/导演们/寺山修司/死者田园祭/死者田园祭.田園に死す.1974.Pastoral.To.Die.in.the.Country.Shuji.Terayama.DVDRip-auess.mkv	/Volumes/导演们/寺山修司/死者田园祭.田園に死す.1974.Pastoral.To.Die.in.the.Country.Shuji.Terayama.DVDRip-auess.mkv	1	1	0	/Volumes/导演们/寺山修司/死者田园祭/OG.死者田园祭.田園に死す.1974.Pastoral.To.Die.in.the.Country.Shuji.Terayama.DVDRip-auess.mkv
/Volumes/导演们/巴斯特·基顿/大学	/Volumes/导演们/巴斯特·基顿/大学/大学.Buster.Keaton.College.1927.mkv	/Volumes/导演们/巴斯特·基顿/大学.Buster.Keaton.College.1927.mkv	1	1	0	/Volumes/导演们/巴斯特·基顿/大学/OG.大学.Buster.Keaton.College.1927.mkv
/Volumes/导演们/布莱恩·德·帕尔玛/节选修订	/Volumes/导演们/布莱恩·德·帕尔玛/节选修订/节选修订.Redacted.2007.LIMITED.DVDRip.XviD-SAPHiRE.mkv	/Volumes/导演们/布莱恩·德·帕尔玛/节选修订.Redacted.2007.LIMITED.DVDRip.XviD-SAPHiRE.mkv	1	2	0	/Volumes/导演们/布莱恩·德·帕尔玛/节选修订/OG.节选修订.Redacted.2007.LIMITED.DVDRip.XviD-SAPHiRE.mkv
/Volumes/导演们/布莱恩·德·帕尔玛/铁面无私	/Volumes/导演们/布莱恩·德·帕尔玛/铁面无私/不可触犯.The.Untouchables.1987.BDRip.X264.iNT-TLF(559A734E).mkv	/Volumes/导演们/布莱恩·德·帕尔玛/不可触犯.The.Untouchables.1987.BDRip.X264.iNT-TLF(559A734E).mkv	1	2	0	/Volumes/导演们/布莱恩·德·帕尔玛/铁面无私/OG.不可触犯.The.Untouchables.1987.BDRip.X264.iNT-TLF(559A734E).mkv
