folder	subdir	note_or_subtitle_count	movie_count	other_file_count	nested_dir_count
/Volumes/导演们/亚历山大·索科洛夫/苏联挽歌	/Volumes/导演们/亚历山大·索科洛夫/苏联挽歌/索科洛夫	0	1	0	0
/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人	/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人/房屋的主人	0	0	2	0
/Volumes/导演们/安德烈·萨金塞夫	/Volumes/导演们/安德烈·萨金塞夫/将爱放逐	0	2	0	0
/Volumes/导演们/原一男	/Volumes/导演们/原一男/全身小说家	2	1	0	0
/Volumes/导演们/原一男	/Volumes/导演们/原一男/前进，神军！	0	1	2	0
/Volumes/导演们/布莱恩·德·帕尔玛/疤面煞星	/Volumes/导演们/布莱恩·德·帕尔玛/疤面煞星/Scarface.1983.EXTRAS	feature/extras-like subdir skipped
/Volumes/导演们/杜桑·哈那克	/Volumes/导演们/杜桑·哈那克/(1969)322	1	1	2	0
/Volumes/导演们/杜桑·哈那克	/Volumes/导演们/杜桑·哈那克/(1972)旧世界群像 Obrazy starého sveta	1	1	0	0
/Volumes/导演们/杜桑·哈那克	/Volumes/导演们/杜桑·哈那克/纸人头	1	1	0	0
/Volumes/导演们/迈克尔·鲍威尔	/Volumes/导演们/迈克尔·鲍威尔/沙滩上的夏娃	1	1	0	0
/Volumes/导演们/丹尼斯·维伦纽瓦	/Volumes/导演们/丹尼斯·维伦纽瓦/边境杀手	2	2	0	0
/Volumes/导演们/阿列克谢·日尔曼	/Volumes/导演们/阿列克谢·日尔曼/哈鲁斯坦洛夫.开车	2	1	0	0
/Volumes/导演们/阿列克谢·日尔曼	/Volumes/导演们/阿列克谢·日尔曼/我的朋友伊万·拉布辛	1	1	0	0
/Volumes/导演们/阿列克谢·日尔曼	/Volumes/导演们/阿列克谢·日尔曼/没有战争的二十天	1	1	0	0
/Volumes/导演们/阿列克谢·日尔曼	/Volumes/导演们/阿列克谢·日尔曼/第七個同行者	1	1	0	0
/Volumes/导演们/阿列克谢·日尔曼	/Volumes/导演们/阿列克谢·日尔曼/路上的检查	2	1	0	0
/Volumes/导演们/维姆·文德斯/德州巴黎	/Volumes/导演们/维姆·文德斯/德州巴黎/德州巴黎花絮	feature/extras-like subdir skipped
