folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/阿莱克斯·德拉·伊格来希亚/闪灵双煞	/Volumes/导演们/阿莱克斯·德拉·伊格来希亚/闪灵双煞/闪灵双煞.Perdita.Durango.1997.iNTERNAL.DVDRiP.x264-tehPARADOX.mkv	1	0	paired sidecar: Perdita.Durango.1997.iNTERNAL.DVDRiP.x264-tehPARADOX.sub
/Volumes/导演们/阿兰·卡瓦利埃/狂乱	/Volumes/导演们/阿兰·卡瓦利埃/狂乱/狂乱.La.Chamade.1968.mkv	1	0	
/Volumes/导演们/阿历克塞·巴拉巴诺夫/兄弟	/Volumes/导演们/阿历克塞·巴拉巴诺夫/兄弟/兄弟.Brat.1997.Rus.mkv	1	0	paired sidecar: Brat.(Rus).sub
/Volumes/导演们/阿历克塞·巴拉巴诺夫/锅炉工	/Volumes/导演们/阿历克塞·巴拉巴诺夫/锅炉工/锅炉工.Kochegar.2010.XviD.DVDRip.mkv	4	0	
/Volumes/导演们/埃利达尔·梁赞诺夫/意大利人在俄罗斯的奇遇	/Volumes/导演们/埃利达尔·梁赞诺夫/意大利人在俄罗斯的奇遇/意大利人在俄罗斯的奇遇.Unbelievable.Adventures.of.Italians.In.Russia.1974.ACT.location.cn.mkv	1	0	paired sidecar: Act Unbelievable Adventures Of Italians In Russia Location Cn.sub
/Volumes/导演们/刘别谦/有声片/天堂陷阱	/Volumes/导演们/刘别谦/有声片/天堂陷阱/天堂陷阱.Trouble.in.Paradise.1932.mkv	1	0	paired sidecar: Trouble.in.Paradise.sub
/Volumes/导演们/刘别谦/有声片/街角的商店	/Volumes/导演们/刘别谦/有声片/街角的商店/街角的商店.The.Shop.Around.The.Corner.1940.mkv	1	0	
/Volumes/导演们/帕索里尼/定理	/Volumes/导演们/帕索里尼/定理/定理.Teorema.1968.Pier.Paolo.Pasolini.DVDRip.XviD-KiNESiS.mkv	1	0	paired sidecar: 定理.Teorema.1968.Pier.Paolo.Pasolini.DVDRip.XviD-KiNESiS.chs.sub
/Volumes/导演们/佩德罗·科斯塔/血	/Volumes/导演们/佩德罗·科斯塔/血/血.The.Blood.1989.PROPER.DVDRip.XviD-WRD.mp4	1	0	paired sidecar: 血.The.Blood.1989.PROPER.DVDRip.XviD-WRD.sub
/Volumes/导演们/是枝裕和/下一站，天国	/Volumes/导演们/是枝裕和/下一站，天国/下一站，天国.Wandafuru.Raifu.1998.(After.Life).-.Hirokazu.Koreeda.subbed.mp4	1	0	paired sidecar: 下一站，天国.Wandafuru.Raifu.1998.(After.Life).-.Hirokazu.Koreeda.subbed.sub
