folder	reason	detail
/Volumes/导演们/三隅研次	not a single movie folder	movies=6 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/山中贞雄	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/岩井俊二	not a single movie folder	movies=10 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/约翰.休斯顿	not a single movie folder	movies=6 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/塚本晋也	not a single movie folder	movies=3 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/罗伯特·布列松	not a single movie folder	movies=4 subtitles=0 subdirs=12 other_files=0
/Volumes/导演们/罗伯特·布列松/布列松的书	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/罗伯特·布列松/布劳涅森林的女人们	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·布列松/穆谢特	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/罗伯特·布列松/通往布列松之路	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/马丁·斯科塞斯	not a single movie folder	movies=16 subtitles=0 subdirs=7 other_files=1
/Volumes/导演们/马丁·斯科塞斯/基督的最后诱惑	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/马丁·斯科塞斯/我的意大利之旅	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/马丁·斯科塞斯/纯真年代	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=4
/Volumes/导演们/马丁·斯科塞斯/美国电影之旅	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=6
/Volumes/导演们/马丁·斯科塞斯/下班后	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/马丁·斯科塞斯/下班后/花絮	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/玛琳·黛德丽[演员]	not a single movie folder	movies=6 subtitles=0 subdirs=16 other_files=0
/Volumes/导演们/玛琳·黛德丽[演员]/Marlene Dietrich Her Own Song玛琳·黛德丽的故事	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=3
/Volumes/导演们/玛琳·黛德丽[演员]/Morocco摩洛哥	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/玛琳·黛德丽[演员]/Pittsburgh匹兹堡	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=1
/Volumes/导演们/玛琳·黛德丽[演员]/环游世界80天	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/迈克尔·柯蒂斯	not a single movie folder	movies=4 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/迈克尔·柯蒂斯/欲海情魔	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=3
/Volumes/导演们/迈克尔·摩尔	not a single movie folder	movies=3 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/迈克尔·摩尔/资本主义：一个爱情故事	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/米哈依尔·卡拉托佐夫	not a single movie folder	movies=2 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/米克洛斯·杨索	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/莫森·玛克玛尔巴夫	not a single movie folder	movies=6 subtitles=0 subdirs=5 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/一事二了	subdir is not subtitle-only or feature-like	/Volumes/导演们/琪拉·穆拉托娃/一事二了/英文字幕 subtitles=0 movies=0 others=2 nested_dirs=0
/Volumes/导演们/琪拉·穆拉托娃/一事二了/英文字幕	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/琪拉·穆拉托娃/漫长的告别	single movie folder without root subtitles but has extras/other files	subdirs=2 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/漫长的告别/DVDRIP-UNCUT	not a single movie folder	movies=0 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/漫长的告别/TVRIP	not a single movie folder	movies=0 subtitles=3 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/狂热	subdir is not subtitle-only or feature-like	/Volumes/导演们/琪拉·穆拉托娃/狂热/狂熱 subtitles=0 movies=0 others=2 nested_dirs=0
/Volumes/导演们/琪拉·穆拉托娃/狂热	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/狂热/狂熱	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/琪拉·穆拉托娃/萍水相逢	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/萍水相逢/萍水相逢	not a single movie folder	movies=0 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/衰弱症/Astenicheskiy sindrom (1989)	not a single movie folder	movies=0 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/调音师/2CD	not a single movie folder	movies=0 subtitles=4 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/调音师/1CD	not a single movie folder	movies=0 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔	not a single movie folder	movies=36 subtitles=0 subdirs=13 other_files=1
/Volumes/导演们/让·吕克.戈达尔/夏洛特的情人	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/小兵	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/我略知她的二三事	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/所有的男生都叫派翠克	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/狂人皮埃罗	not a single movie folder	movies=6 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/电影史	not a single movie folder	movies=8 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/芳名卡门	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/随心所欲	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·吕克.戈达尔/高達神曲	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/让·吕克.戈达尔/高達神曲/[神曲][Notre.Musique.2004][阳光法国]	not a single movie folder	movies=0 subtitles=1 subdirs=0 other_files=0
/Volumes/导演们/西维亚·乔迈	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿贝尔·费拉拉	not a single movie folder	movies=7 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿基·考里斯马基	not a single movie folder	movies=9 subtitles=0 subdirs=7 other_files=6
/Volumes/导演们/阿基·考里斯马基/撒谎者	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/阿基·考里斯马基/王子复仇新记	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿基·考里斯马基/里约之声	not a single movie folder	movies=3 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/阿基·考里斯马基/里约之声/音乐现场录像精选	not a single movie folder	movies=7 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿莫多瓦	not a single movie folder	movies=10 subtitles=0 subdirs=7 other_files=3
/Volumes/导演们/阿莫多瓦/斗牛士	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿莫多瓦/活色生香	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿莫多瓦/激情迷宫	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿莫多瓦/破碎的拥抱	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/阿莫多瓦/食男人肉的女议员	not a single movie folder	movies=0 subtitles=1 subdirs=0 other_files=1
/Volumes/导演们/阿涅斯·瓦尔达	not a single movie folder	movies=23 subtitles=0 subdirs=13 other_files=2
/Volumes/导演们/阿涅斯·瓦尔达/一个唱,一个不唱	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿涅斯·瓦尔达/五至七时的奇奥	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/南特的雅克德米	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/天涯沦落女	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜	subdir is not subtitle-only or feature-like	/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜/关于《小心太阳眼镜》[英字] subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜/关于《小心太阳眼镜》[英字]	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/阿涅斯·瓦尔达/我和拾穗者	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/爱格尼斯的海滩	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/阿涅斯·瓦尔达/阿涅斯·瓦尔达在这里和那里	not a single movie folder	movies=5 subtitles=5 subdirs=0 other_files=0
/Volumes/导演们/达内兄弟	not a single movie folder	movies=8 subtitles=0 subdirs=4 other_files=1
/Volumes/导演们/达内兄弟/一诺千金	not a single movie folder	movies=2 subtitles=2 subdirs=0 other_files=2
/Volumes/导演们/莱妮·里芬斯塔尔	not a single movie folder	movies=4 subtitles=0 subdirs=2 other_files=1
/Volumes/导演们/莱妮·里芬斯塔尔/奥林匹亚1：民族的节日	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/雷德利·斯科特	not a single movie folder	movies=22 subtitles=0 subdirs=2 other_files=0
