# status	folder	message
DONE	/Volumes/导演们/是枝裕和/下一站，天国	completed 2026-07-17 21:31:39; output=/Volumes/导演们/是枝裕和/下一站，天国.Wandafuru.Raifu.1998.(After.Life).-.Hirokazu.Koreeda.subbed.mkv
DONE	/Volumes/导演们/朱拉·亚库比斯克/(1980)家屋的梦想 Postav dom, zasad strom	completed 2026-07-17 21:33:16; output=/Volumes/导演们/朱拉·亚库比斯克/家屋的梦想.Postav.dom.zasad.strom.1980.SCN.Title1.DVDRip.mkv
DONE	/Volumes/导演们/朱拉·亚库比斯克/(1989)潇洒上枝头	completed 2026-07-17 21:37:54; output=/Volumes/导演们/朱拉·亚库比斯克/潇洒上枝头.Sedim.na.konari.a.je.mi.dobre.1989.mkv
FAILED	/Volumes/导演们/安德烈·塔尔科夫斯基/塔尔科夫斯基《岛》	subtitle encoding detection failed: /Volumes/导演们/安德烈·塔尔科夫斯基/塔尔科夫斯基《岛》/岛.Andrei.Tarkovsky.Sergei.Parajanov.-.Islands.chs.srt :: 
DONE	/Volumes/导演们/奥德里奇·利普斯基/雷蒙纳多·乔	completed 2026-07-17 21:38:59; output=/Volumes/导演们/奥德里奇·利普斯基/雷蒙纳多·乔.Limonadovy.Joe.aneb.Konska.opera.1964.Lemonade.Joe.mkv
DONE	/Volumes/导演们/今村昌平/西银座驿前	completed 2026-07-17 21:39:38; output=/Volumes/导演们/今村昌平/西银座驿前.Nishi.Ginza.Station.1958.mkv
DONE	/Volumes/导演们/今村昌平/赤色杀机	completed 2026-07-17 21:43:19; output=/Volumes/导演们/今村昌平/Akai Satsui (1964) Intentions Of Murder.mkv
DONE	/Volumes/导演们/林赛·安德森/假如	completed 2026-07-17 21:44:17; output=/Volumes/导演们/林赛·安德森/假如.If.1968.DVDRip.XviD-FRAGMENT.mkv
DONE	/Volumes/导演们/林赛·安德森/如此运动生涯	completed 2026-07-17 21:45:34; output=/Volumes/导演们/林赛·安德森/如此运动生涯.This.Sporting.Life.1963.512.24fps.630kbs.96abr.WunSeeDee.mkv
DONE	/Volumes/导演们/斯坦利·库布里克/幸运的马尔科姆	completed 2026-07-17 21:46:17; output=/Volumes/导演们/斯坦利·库布里克/Lucky.Malcolm.mkv
